Airport name,DST,IATA,ICAO,Location served,Time
Anaa Airport,,AAA,NTGA,"Anaa, Tuamotus, French Polynesia",UTC−10:00
Arrabury Airport,,AAB,YARY,"Arrabury, Queensland, Australia",UTC+10:00
El Arish International Airport,,AAC,HEAR,"El Arish, Egypt",UTC+02:00
Rabah Bitat Airport (Les Salines Airport),,AAE,DABB,"Annaba, Algeria",UTC+01:00
Apalachicola Regional Airport,Mar-Nov,AAF,KAAF,"Apalachicola, Florida, United States",UTC−05:00
Arapoti Airport,Oct-Feb,AAG,SSYA,"Arapoti, Paraná, Brazil",UTC−03:00
Merzbrück Airport,Mar-Oct,AAH,EDKA,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00
Arraias Airport,,AAI,SWRA,"Arraias, Tocantins, Brazil",UTC−03:00
Cayana Airstrip,,AAJ,SMCA,"Awaradam, Suriname",UTC−03:00
Aranuka Airport,,AAK,NGUK,"Aranuka, Kiribati",UTC+12:00
Aalborg Airport,Mar-Oct,AAL,EKYT,"Aalborg, Denmark",UTC+01:00
Mala Mala Airport,,AAM,FAMD,"Mala Mala, South Africa",UTC+02:00
Al Ain International Airport,,AAN,OMAL,"Al Ain, United Arab Emirates",UTC+04:00
Anaco Airport,,AAO,SVAN,"Anaco, Venezuela",UTC−04:00
Anapa Airport,,AAQ,URKA,"Anapa, Krasnodar Krai, Russia",UTC+03:00
Aarhus Airport,Mar-Oct,AAR,EKAH,"Aarhus, Denmark",UTC+01:00
Apalapsili Airport,,AAS,,"Apalapsili, Indonesia",UTC+09:00
Altay Airport,,AAT,ZWAT,"Altay, Xinjiang, China",UTC+06:00
Asau Airport,Sep-Apr,AAU,NSAU,"Asau, Savai'i Island, Samoa",UTC+13:00
Allah Valley Airport,,AAV,RPMA,"Surallah, Philippines",UTC+08:00
Araxá Airport,Oct-Feb,AAX,SBAX,"Araxá, Minas Gerais, Brazil",UTC−03:00
Al Ghaydah Airport,,AAY,OYGD,"Al Ghaydah, Yemen",UTC+03:00
Quetzaltenango Airport,,AAZ,MGQZ,"Quetzaltenango, Guatemala",UTC−06:00
Abakan International Airport,,ABA,UNAA,"Abakan, Republic of Khakassia, Russia",UTC+07:00
Asaba International Airport,,ABB,DNAS,"Asaba, Nigeria",UTC+01:00
Albacete Airport,Mar-Oct,ABC,LEAB,"Albacete, Castilla-La Mancha, Spain",UTC+01:00
Abadan International Airport,Mar-Sep,ABD,OIAA,"Abadan, Iran",UTC+03:30
Lehigh Valley International Airport,Mar-Nov,ABE,KABE,"Allentown, Pennsylvania, United States",UTC−05:00
Abaiang Atoll Airport,,ABF,NGAB,"Abaiang, Kiribati",UTC+12:00
Abingdon Airport,,ABG,YABI,"Abingdon, Queensland, Australia",UTC+10:00
Alpha Airport,,ABH,YAPH,"Alpha, Queensland, Australia",UTC+10:00
Abilene Regional Airport,Mar-Nov,ABI,KABI,"Abilene, Texas, United States",UTC−06:00
Port Bouet Airport (Felix Houphouet Boigny Int'l),,ABJ,DIAP,"Abidjan, Côte d'Ivoire",UTC+00:00
Kabri Dar Airport,,ABK,HAKD,"Kebri Dahar, Ethiopia",UTC+03:00
Ambler Airport (FAA: AFM),Mar-Nov,ABL,PAFM,"Ambler, Alaska, United States",UTC−09:00
Northern Peninsula Airport,,ABM,YNPE,"Bamaga, Queensland, Australia",UTC+10:00
Albina Airstrip,,ABN,SMBN,"Albina, Suriname",UTC−03:00
Aboisso Airport,,ABO,DIAO,"Aboisso, Côte d'Ivoire",UTC+00:00
Atkamba Airport,,ABP,,"Atkamba, Papua New Guinea",UTC+10:00
Albuquerque International Sunport,Mar-Nov,ABQ,KABQ,"Albuquerque, New Mexico, United States",UTC−07:00
Aberdeen Regional Airport,Mar-Nov,ABR,KABR,"Aberdeen, South Dakota, United States",UTC−06:00
Abu Simbel Airport,,ABS,HEBL,"Abu Simbel, Egypt",UTC+02:00
Al-Baha Domestic Airport,,ABT,OEBA,"Al-Baha, Saudi Arabia",UTC+03:00
Haliwen Airport,,ABU,WATA,"Atambua, Indonesia",UTC+08:00
Nnamdi Azikiwe International Airport,,ABV,DNAA,"Abuja, Nigeria",UTC+01:00
Abau Airport,,ABW,,"Abau, Papua New Guinea",UTC+10:00
Albury Airport,Oct-Apr,ABX,YMAY,"Albury, New South Wales, Australia",UTC+10:00
Southwest Georgia Regional Airport,Mar-Nov,ABY,KABY,"Albany, Georgia, United States",UTC−05:00
Aberdeen Airport,Mar-Oct,ABZ,EGPD,"Aberdeen, Scotland, United Kingdom",UTC+00:00
General Juan N. Álvarez International Airport,Apr-Oct,ACA,MMAA,"Acapulco, Guerrero, Mexico",UTC−06:00
Antrim County Airport,Mar-Nov,ACB,KACB,"Bellaire, Michigan, United States",UTC−05:00
Kotoka International Airport,,ACC,DGAA,"Accra, Ghana",UTC+00:00
Alcides Fernández Airport,,ACD,SKAD,"Acandí, Colombia",UTC−05:00
Lanzarote Airport,Mar-Oct,ACE,GCRR,"Lanzarote, Canary Islands, Spain",UTC+00:00
St. Gallen–Altenrhein Airport,Mar-Oct,ACH,LSZR,"Altenrhein, Switzerland",UTC+01:00
Alderney Airport,Mar-Oct,ACI,EGJA,"Alderney, Channel Islands, United Kingdom",UTC+00:00
Anuradhapura Airport,,ACJ,VCCA,"Anuradhapura, Sri Lanka",UTC+05:30
Nantucket Memorial Airport,Mar-Nov,ACK,KACK,"Nantucket, Massachusetts, United States",UTC−05:00
Aguaclara Airport,,ACL,,"Aguaclara, Colombia",UTC−05:00
Arica Airport,,ACM,,"Arica, Colombia",UTC−05:00
Ciudad Acuña International Airport,Mar-Nov,ACN,MMCC,"Ciudad Acuña, Coahuila, Mexico",UTC−06:00
Sahand Airport,Mar-Sep,ACP,OITM,"Maragheh, Iran",UTC+03:30
Araracuara Airport,,ACR,SKAC,"Araracuara, Colombia",UTC−05:00
Achinsk Airport,,ACS,UNKS,"Achinsk, Krasnoyarsk Krai, Russia",UTC+07:00
Waco Regional Airport,Mar-Nov,ACT,KACT,"Waco, Texas, United States",UTC−06:00
Achutupo Airport,,ACU,,"Achutupo, Panama",UTC−05:00
Arcata-Eureka Airport,Mar-Nov,ACV,KACV,"Eureka / Arcata, California, United States",UTC−08:00
Xingyi Wanfenglin Airport,,ACX,ZUYI,"Xingyi, Guizhou, China",UTC+08:00
Atlantic City International Airport,Mar-Nov,ACY,KACY,"Atlantic City, New Jersey, United States",UTC−05:00
Zabol Airport,Mar-Sep,ACZ,OIZB,"Zabol, Iran",UTC+03:30
Adana Şakirpaşa Airport,,ADA,LTAF,"Adana, Turkey",UTC+03:00
Adnan Menderes Airport,,ADB,LTBJ,"İzmir, Turkey",UTC+03:00
Andakombe Airport,,ADC,AYAN,"Andakombe, Papua New Guinea",UTC+10:00
Bole International Airport,,ADD,HAAB,"Addis Ababa, Ethiopia",UTC+03:00
Aden International Airport,,ADE,OYAA,"Aden, Yemen",UTC+03:00
Adıyaman Airport,,ADF,LTCP,"Adıyaman, Turkey",UTC+03:00
Lenawee County Airport,Mar-Nov,ADG,KADG,"Adrian, Michigan, United States",UTC−05:00
Aldan Airport,,ADH,UEEA,"Aldan, Yakutia, Russia",UTC+09:00
Arandis Airport,Sep-Apr,ADI,FYAR,"Arandis, Namibia",UTC+01:00
Amman Civil Airport (Marka International Airport),Mar-Oct,ADJ,OJAM,"Amman, Jordan",UTC+02:00
Adak Airport,Mar-Nov,ADK,PADK,"Adak Island, Alaska, United States",UTC−10:00
Adelaide Airport,Oct-Apr,ADL,YPAD,"Adelaide, South Australia, Australia",UTC+09:30
Ardmore Municipal Airport,Mar-Nov,ADM,KADM,"Ardmore, Oklahoma, United States",UTC−06:00
Andes Airport,,ADN,SKAN,"Andes, Colombia",UTC−05:00
Andamooka Airport,Oct-Apr,ADO,YAMK,"Andamooka, South Australia, Australia",UTC+09:30
Ampara Airport,,ADP,VCCG,"Ampara, Sri Lanka",UTC+05:30
Kodiak Airport,Mar-Nov,ADQ,PADQ,"Kodiak, Alaska, United States",UTC−09:00
Robert F. Swinnie Airport (FAA: PHH),Mar-Nov,ADR,KPHH,"Andrews, South Carolina, United States",UTC−05:00
Addison Airport,Mar-Nov,ADS,KADS,"Dallas, Texas, United States",UTC−06:00
Ada Municipal Airport (FAA: ADH),Mar-Nov,ADT,KADH,"Ada, Oklahoma, United States",UTC−06:00
Ardabil Airport,Mar-Sep,ADU,OITL,"Ardabil, Iran",UTC+03:30
Ed Daein Airport,,ADV,,"Ed Daein, Sudan",UTC+03:00
Andrews Field (Andrews Air Force Base),Mar-Nov,ADW,KADW,"Camp Springs, Maryland, United States",UTC−05:00
RAF Leuchars,Mar-Oct,ADX,EGQL,"St Andrews, Scotland, United Kingdom",UTC+00:00
Alldays Airport,,ADY,FAAL,"Alldays, South Africa",UTC+02:00
Gustavo Rojas Pinilla International Airport,,ADZ,SKSP,"San Andres Island, Colombia",UTC−05:00
Abemama Atoll Airport,,AEA,NGTB,"Abemama Atoll, Kiribati",UTC+12:00
Baise Bama Airport,,AEB,ZGBS,"Baise, Guangxi, China",UTC+08:00
Adareil Airport[1],,AEE,,"Adareil, South Sudan",UTC+03:00
Aek Godang Airport,,AEG,WIME,"Padang Sidempuan, Indonesia",UTC+07:00
Abéché Airport,,AEH,FTTC,"Abéché, Chad",UTC+01:00
Aseki Airport,,AEK,AYAX,"Aseki, Papua New Guinea",UTC+10:00
Albert Lea Municipal Airport,Mar-Nov,AEL,KAEL,"Albert Lea, Minnesota, United States",UTC−06:00
Aioun el Atrouss Airport,,AEO,GQNA,"Aioun el Atrouss, Mauritania",UTC+00:00
Jorge Newbery Airpark,,AEP,SABE,"Buenos Aires, Argentina",UTC−03:00
Sochi International Airport,,AER,URSS,"Sochi, Krasnodar Krai, Russia",UTC+03:00
"Ålesund Airport, Vigra",Mar-Oct,AES,ENAL,"Ålesund, Norway",UTC+01:00
Allakaket Airport (FAA: 6A8),Mar-Nov,AET,PFAL,"Allakaket, Alaska, United States",UTC−09:00
Abu Musa Airport[1],Mar-Sep,AEU,OIBA,"Abu Musa Island, Iran",UTC+03:30
Alexandria International Airport,Mar-Nov,AEX,KAEX,"Alexandria, Louisiana, United States",UTC−06:00
Akureyri Airport,,AEY,BIAR,"Akureyri, Iceland",UTC+00:00
San Rafael Airport,,AFA,SAMR,"San Rafael, Mendoza, Argentina",UTC−03:00
Port Alfred Airport,,AFD,FAPA,"Port Alfred, South Africa",UTC+02:00
United States Air Force Academy Airfield,Mar-Nov,AFF,KAFF,"Colorado Springs, Colorado, United States",UTC−07:00
Amalfi Airport,,AFI,SKAM,"Amalfi, Colombia",UTC−05:00
Kondavattavan Tank Seaplane Base[1],,AFK,,"Ampara, Sri Lanka",UTC+05:30
Alta Floresta Airport,Oct-Feb,AFL,SBAT,"Alta Floresta, Mato Grosso, Brazil",UTC−04:00
Jaffrey Airport–Silver Ranch,Mar-Nov,AFN,KAFN,"Jaffrey, New Hampshire, United States",UTC−05:00
Afton Municipal Airport,Mar-Nov,AFO,KAFO,"Afton, Wyoming, United States",UTC−07:00
Afore Airport,,AFR,AYAF,"Afore, Papua New Guinea",UTC+10:00
Zarafshan Airport,,AFS,UTSN,"Zarafshan, Uzbekistan",UTC+05:00
Afutara Airport,,AFT,AGAF,"Afutara, Malaita, Solomon Islands",UTC+11:00
Fort Worth Alliance Airport,Mar-Nov,AFW,KAFW,"Fort Worth, Texas, United States",UTC−06:00
Afyon Airport,,AFY,LTAH,"Afyon, Turkey",UTC+03:00
Sabzevar Airport[1],Mar-Sep,AFZ,OIMS,"Sabzevar, Iran",UTC+03:30
Agadir–Al Massira Airport,Mar-Oct1,AGA,GMAD,"Agadir, Morocco",UTC+00:00
Augsburg Airport,Mar-Oct,AGB,EDMA,"Augsburg, Bavaria, Germany",UTC+01:00
Allegheny County Airport,Mar-Nov,AGC,KAGC,"Pittsburgh, Pennsylvania, United States",UTC−05:00
Anggi Airport,,AGD,WASG,"Anggi, Indonesia",UTC+09:00
Wangerooge Airport,Mar-Oct,AGE,EDWG,"Wangerooge, Lower Saxony, Germany",UTC+01:00
Agen La Garenne Airport,Mar-Oct,AGF,LFBA,"Agen, Aquitaine, France",UTC+01:00
Angoram Airport,,AGG,,"Angoram, Papua New Guinea",UTC+10:00
Ängelholm–Helsingborg Airport (former ICAO: ESDB),Mar-Oct,AGH,ESTA,"Ängelholm, Sweden",UTC+01:00
Wageningen Airstrip,,AGI,SMWA,"Wageningen, Suriname",UTC−03:00
Aguni Airport,,AGJ,RORA,"Aguni, Okinawa, Japan",UTC+09:00
Kagua Airport,,AGK,,"Kagua, Papua New Guinea",UTC+10:00
Wanigela Airport,,AGL,AYWG,"Wanigela, Papua New Guinea",UTC+10:00
Angoon Seaplane Base,Mar-Nov,AGN,PAGN,"Angoon, Alaska, United States",UTC−09:00
Magnolia Municipal Airport,Mar-Nov,AGO,KAGO,"Magnolia, Arkansas, United States",UTC−06:00
Málaga Airport,Mar-Oct,AGP,LEMG,"Málaga, Andalusia, Spain",UTC+01:00
Agrinion Airport,Mar-Oct,AGQ,LGAG,"Agrinion, Greece",UTC+02:00
Agra Airport,,AGR,VIAG,"Agra, Uttar Pradesh, India",UTC+05:30
Augusta Regional Airport at Bush Field,Mar-Nov,AGS,KAGS,"Augusta, Georgia, United States",UTC−05:00
Guaraní International Airport,Oct-Mar,AGT,SGES,"Ciudad del Este, Paraguay",UTC−04:00
Lic. Jesús Terán Peredo International Airport,Apr-Oct,AGU,MMAS,"Aguascalientes, Aguascalientes, Mexico",UTC−06:00
Oswaldo Guevara Mujica Airport,,AGV,SVAC,"Acarigua, Venezuela",UTC−04:00
Agnew Airport,,AGW,,"Agnew, Queensland, Australia",UTC+10:00
Agatti Aerodrome,,AGX,VOAT,"Agatti Island, Lakshadweep, India",UTC+05:30
Aggeneys Airport,,AGZ,FAAG,"Aggeneys, South Africa",UTC+02:00
Abha Regional Airport,,AHB,OEAB,"Abha, Saudi Arabia",UTC+03:00
Amedee Army Airfield,Mar-Nov,AHC,KAHC,"Herlong, California, United States",UTC−08:00
Ardmore Downtown Executive Airport (FAA: 1F0),Mar-Nov,AHD,,"Ardmore, Oklahoma, United States",UTC−06:00
Ahe Airport,,AHE,NTHE,"Ahe, Tuamotus, French Polynesia",UTC−10:00
Arapahoe Municipal Airport (FAA: 37V),Mar-Nov,AHF,,"Arapahoe, Nebraska, United States",UTC−06:00
Amery Municipal Airport,Mar-Nov,AHH,KAHH,"Amery, Wisconsin, United States",UTC−06:00
Amahai Airport,,AHI,WAPA,"Amahai, Indonesia",UTC+09:00
Hongyuan Airport,,AHJ,ZUHY,"Hongyuan, Sichuan, China",UTC+08:00
Aishalton Airstrip,,AHL,SYAH,"Aishalton, Guyana",UTC−04:00
Ashland Municipal Airport[1],Mar-Nov,AHM,,"Ashland, Oregon, United States",UTC−08:00
Athens Ben Epps Airport,Mar-Nov,AHN,KAHN,"Athens, Georgia, United States",UTC−05:00
Alghero-Fertilia Airport,Mar-Oct,AHO,LIEA,"Alghero, Sardinia, Italy",UTC+01:00
Ahuas Airport,,AHS,MHAH,"Ahuas, Honduras",UTC−06:00
Cherif Al Idrissi Airport,Mar-Oct1,AHU,GMTA,"Al Hoceima, Morocco",UTC+00:00
Saih Rawl Airport[1],,AHW,,"Saih Rawl, Oman",UTC+04:00
Ambatolahy Airport,,AHY,,"Ambatolahy, Madagascar",UTC+03:00
Alpe d'Huez Airport,Mar-Oct,AHZ,LFHU,"Alpe d'Huez, Rhône-Alpes, France",UTC+01:00
Alliance Municipal Airport,Mar-Nov,AIA,KAIA,"Alliance, Nebraska, United States",UTC−07:00
Ailinglaplap Airok Airport,,AIC,,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00
Anderson Municipal Airport (Darlington Field),Mar-Nov,AID,KAID,"Anderson, Indiana, United States",UTC−05:00
Aiome Airport,,AIE,AYAO,"Aiome, Papua New Guinea",UTC+10:00
Assis Airport (former ICAO: SBAS),Oct-Feb,AIF,SNAX,"Assis, São Paulo, Brazil",UTC−03:00
Yalinga Airport,,AIG,FEFY,"Yalinga, Central African Republic",UTC+01:00
Aiambak Airport,,AIH,AYAK,"Aiambak, Papua New Guinea",UTC+10:00
Ali-Sabieh Airport,,AII,HDAS,"Ali Sabieh, Djibouti",UTC+03:00
Aiken Municipal Airport,Mar-Nov,AIK,KAIK,"Aiken, South Carolina, United States",UTC−05:00
Ailigandí Airport,,AIL,,"Ailigandí, Panama",UTC−05:00
Ailuk Airport,,AIM,,"Ailuk Atoll, Marshall Islands",UTC+12:00
Wainwright Airport (FAA: AWI),Mar-Nov,AIN,PAWI,"Fort Wainwright, Alaska, United States",UTC−09:00
Atlantic Municipal Airport,Mar-Nov,AIO,KAIO,"Atlantic, Iowa, United States",UTC−06:00
Aripuanã Airport,Oct-Feb,AIR,,"Aripuanã, Mato Grosso, Brazil",UTC−04:00
Arorae Island Airport,,AIS,NGTR,"Arorae Island, Kiribati",UTC+12:00
Aitutaki Airport,,AIT,NCAI,"Aitutaki, Cook Islands",UTC−10:00
Atiu Island Airport,,AIU,NCAT,"Atiu Island, Cook Islands",UTC−10:00
George Downer Airport,Mar-Nov,AIV,KAIV,"Aliceville, Alabama, United States",UTC−06:00
Ai-Ais Airport,Sep-Apr,AIW,,"Ai-Ais, Namibia",UTC+01:00
Atlantic City Municipal Airport (Bader Field) (closed 2006),,AIY,KAIY,"Atlantic City, New Jersey, United States",
Lee C. Fine Memorial Airport,Mar-Nov,AIZ,KAIZ,"Lake Ozark, Missouri, United States",UTC−06:00
Ajaccio Napoleon Bonaparte Airport,Mar-Oct,AJA,LFKJ,"Ajaccio, Corsica, France",UTC+01:00
Al-Jawf Domestic Airport,,AJF,OESK,"Al-Jawf, Saudi Arabia",UTC+03:00
Ağrı Airport,,AJI,LTCO,"Ağrı, Turkey",UTC+03:00
Akjoujt Airport,,AJJ,GQNJ,"Akjoujt, Mauritania",UTC+00:00
Arak Airport[1],Mar-Sep,AJK,OIHR,"Arak, Iran",UTC+03:30
Lengpui Airport,,AJL,VELP[2],"Aizawl, Mizoram, India",UTC+05:30
Ouani Airport,,AJN,FMCV,"Anjouan, Comoros",UTC+03:00
Arvidsjaur Airport,Mar-Oct,AJR,ESNX,"Arvidsjaur, Sweden",UTC+01:00
Punta Abreojos Airstrip,Apr-Oct,AJS,,"Punta Abreojos, Baja California Sur, Mexico",UTC−07:00
Santa Maria Airport,,AJU,SBAR,"Aracaju, Sergipe, Brazil",UTC−03:00
Mano Dayak International Airport,,AJY,DRZA,"Agadez, Niger",UTC+01:00
Ankang Wulipu Airport,,AKA,ZLAK,"Ankang, Shaanxi, China",UTC+08:00
Atka Airport (FAA: AKA),Mar-Nov,AKB,PAAK,"Atka, Alaska, United States",UTC−10:00
Akron Fulton International Airport (FAA: AKR),Mar-Nov,AKC,KAKR,"Akron, Ohio, United States",UTC−05:00
Akola Airport,,AKD,VAAK,"Akola, Maharashtra, India",UTC+05:30
Akieni Airport,,AKE,FOGA,"Akiéni, Gabon",UTC+01:00
Kufra Airport,,AKF,HLKF,"Kufra, Libya",UTC+02:00
Anguganak Airport,,AKG,AYGU,"Anguganak, Papua New Guinea",UTC+10:00
Prince Sultan Air Base,,AKH,OEPS,"Al-Kharj, Saudi Arabia",UTC+03:00
Akiak Airport,Mar-Nov,AKI,PFAK,"Akiak, Alaska, United States",UTC−09:00
Asahikawa Airport,,AKJ,RJEC,"Asahikawa, Hokkaido, Japan",UTC+09:00
Akhiok Airport,Mar-Nov,AKK,PAKH,"Akhiok, Alaska, United States",UTC−09:00
Auckland Airport,Sep-Apr,AKL,NZAA,"Auckland, New Zealand",UTC+12:00
Zakouma Airport,,AKM,,"Zakouma National Park, Chad",UTC+01:00
King Salmon Airport,Mar-Nov,AKN,PAKN,"King Salmon, Alaska, United States",UTC−09:00
Colorado Plains Regional Airport,Mar-Nov,AKO,KAKO,"Akron, Colorado, United States",UTC−07:00
Anaktuvuk Pass Airport,Mar-Nov,AKP,PAKP,"Anaktuvuk Pass, Alaska, United States",UTC−09:00
Gunung Batin Airport,,AKQ,WIAG,"Astraksetra, Indonesia",UTC+07:00
Akure Airport,,AKR,DNAK,"Akure, Nigeria",UTC+01:00
Auki Gwaunaru'u Airport,,AKS,AGGA,"Auki, Malaita, Solomon Islands",UTC+11:00
RAF Akrotiri,Mar-Oct,AKT,LCRA,"Akrotiri, Cyprus",UTC+02:00
Aksu Airport,,AKU,ZWAK,"Aksu, Xinjiang, China",UTC+06:00
Akulivik Airport,Mar-Nov,AKV,CYKO,"Akulivik, Quebec, Canada",UTC−05:00
Aghajari Airport[1],Mar-Sep,AKW,OIAG,"Aghajari, Iran",UTC+03:30
Aktobe Airport,,AKX,UATT,"Aktobe, Kazakhstan",UTC+05:00
Sittwe Airport,,AKY,VYSW,"Sittwe, Myanmar",UTC+06:30
Almaty International Airport,,ALA,UAAA,"Almaty, Kazakhstan",UTC+06:00
Albany International Airport,Mar-Nov,ALB,KALB,"Albany, New York, United States",UTC−05:00
Alicante–Elche Airport,Mar-Oct,ALC,LEAL,"Alicante, Valencia, Spain",UTC+01:00
Alerta Airport,,ALD,SPAR,"Alerta, Peru",UTC−05:00
Alpine–Casparis Municipal Airport (FAA: E38),Mar-Nov,ALE,,"Alpine, Texas, United States",UTC−06:00
Alta Airport,Mar-Oct,ALF,ENAT,"Alta, Norway",UTC+01:00
Houari Boumediene Airport,,ALG,DAAG,"Algiers, Algeria",UTC+01:00
Albany Airport,,ALH,YABA,"Albany, Western Australia, Australia",UTC+08:00
Alice International Airport,Mar-Nov,ALI,KALI,"Alice, Texas, United States",UTC−06:00
Alexander Bay Airport,,ALJ,FAAB,"Alexander Bay, South Africa",UTC+02:00
Asella Airport,,ALK,,"Asella, Ethiopia",UTC+03:00
Albenga Airport,Mar-Oct,ALL,LIMG,"Albenga, Liguria, Italy",UTC+01:00
Alamogordo–White Sands Regional Airport,Mar-Nov,ALM,KALM,"Alamogordo, New Mexico, United States",UTC−07:00
St. Louis Regional Airport,Mar-Nov,ALN,KALN,"Alton, Illinois, United States",UTC−06:00
Waterloo Regional Airport,Mar-Nov,ALO,KALO,"Waterloo, Iowa, United States",UTC−06:00
Aleppo International Airport,Mar-Oct,ALP,OSAP,"Aleppo, Syria",UTC+02:00
Alegrete Airport,Oct-Feb,ALQ,SSLT,"Alegrete, Rio Grande do Sul, Brazil",UTC−03:00
Alexandra Aerodrome,Sep-Apr,ALR,NZLX,"Alexandra, New Zealand",UTC+12:00
San Luis Valley Regional Airport,Mar-Nov,ALS,KALS,"Alamosa, Colorado, United States",UTC−07:00
Alenquer Airport,,ALT,,"Alenquer, Pará, Brazil",UTC−03:00
Alula Airport,,ALU,HCMA,"Alula, Somalia",UTC+03:00
Walla Walla Regional Airport,Mar-Nov,ALW,KALW,"Walla Walla, Washington, United States",UTC−08:00
Thomas C. Russell Field,Mar-Nov,ALX,KALX,"Alexander City, Alabama, United States",UTC−06:00
El Nouzha Airport,,ALY,HEAX,"Alexandria, Egypt",UTC+02:00
Alitak Seaplane Base,Mar-Nov,ALZ,,"Lazy Bay, Alaska, United States",UTC−09:00
Rick Husband Amarillo International Airport,Mar-Nov,AMA,KAMA,"Amarillo, Texas, United States",UTC−06:00
Ambilobe Airport,,AMB,FMNE,"Ambilobe, Madagascar",UTC+03:00
Am Timan Airport,,AMC,FTTN,"Am Timan, Chad",UTC+01:00
Sardar Vallabhbhai Patel International Airport,,AMD,VAAH,"Ahmedabad, Gujarat, India",UTC+05:30
Alto Molocue Airport,,AME,,"Alto Molocue, Mozambique",UTC+02:00
Ama Airport,,AMF,AYAA,"Ama, Papua New Guinea",UTC+10:00
Amboin Airport,,AMG,,"Amboin, Papua New Guinea",UTC+10:00
Arba Minch Airport,,AMH,HAAM,"Arba Minch, Ethiopia",UTC+03:00
Selaparang Airport (closed 2011),,AMI,WADA,"Mataram, Indonesia",
Almenara Airport,Oct-Feb,AMJ,SNAR,"Almenara, Minas Gerais, Brazil",UTC−03:00
Animas Air Park (FAA: 00C),Mar-Nov,AMK,,"Durango, Colorado, United States",UTC−07:00
Puerto Armuelles Airport,,AML,,"Puerto Armuelles, Panama",UTC−05:00
Queen Alia International Airport,Mar-Oct,AMM,OJAI,"Amman, Jordan",UTC+02:00
Gratiot Community Airport,Mar-Nov,AMN,KAMN,"Alma, Michigan, United States",UTC−05:00
Mao Airport,,AMO,FTTU,"Mao, Chad",UTC+01:00
Ampanihy Airport,,AMP,FMSY,"Ampanihy, Madagascar",UTC+03:00
Pattimura Airport,,AMQ,WAPP,"Ambon, Indonesia",UTC+09:00
Amsterdam Airport Schiphol,Mar-Oct,AMS,EHAM,"Amsterdam, Netherlands",UTC+01:00
Amata Airport,,AMT,YAMT,"Amata, Northern Territory, Australia",UTC+09:30
Amanab Airport,,AMU,AYAM,"Amanab, Papua New Guinea",UTC+10:00
Amderma Airport,,AMV,ULDD,"Amderma, Nenets Autonomous Okrug, Russia",UTC+03:00
Ames Municipal Airport,Mar-Nov,AMW,KAMW,"Ames, Iowa, United States",UTC−06:00
Ammaroo Airport,,AMX,,"Ammaroo, Northern Territory, Australia",UTC+09:30
Ambatomainty Airport,,AMY,,"Ambatomainty, Madagascar",UTC+03:00
Ardmore Airport,Sep-Apr,AMZ,NZAR,"Ardmore, New Zealand",UTC+12:00
Anniston Regional Airport,Mar-Nov,ANB,KANB,"Anniston, Alabama, United States",UTC−06:00
Ted Stevens Anchorage International Airport,Mar-Nov,ANC,PANC,"Anchorage, Alaska, United States",UTC−09:00
Anderson Regional Airport,Mar-Nov,AND,KAND,"Anderson, South Carolina, United States",UTC−05:00
Angers – Loire Airport,Mar-Oct,ANE,LFJR,"Angers, Pays de la Loire, France",UTC+01:00
Cerro Moreno International Airport,Aug-May,ANF,SCFA,"Antofagasta, Chile",UTC−04:00
Angoulême – Cognac International Airport,Mar-Oct,ANG,LFBU,"Angoulême, Poitou-Charentes, France",UTC+01:00
Aniak Airport,Mar-Nov,ANI,PANI,"Aniak, Alaska, United States",UTC−09:00
Zanaga Airport,,ANJ,FCBZ,"Zanaga, Republic of the Congo",UTC+01:00
Etimesgut Air Base,,ANK,LTAD,"Ankara, Turkey",UTC+03:00
Andulo Airport,,ANL,,"Andulo, Angola",UTC+01:00
Antsirabato Airport,,ANM,FMNH,"Antalaha, Madagascar",UTC+03:00
Annette Island Airport,,ANN,PANT,"Annette Island, Alaska, United States",UTC−08:00
Angoche Airport,,ANO,FQAG,"Angoche, Mozambique",UTC+02:00
Lee Airport,Mar-Nov,ANP,KANP,"Annapolis, Maryland, United States",UTC−05:00
Tri-State Steuben County Airport,Mar-Nov,ANQ,KANQ,"Angola, Indiana, United States",UTC−05:00
Antwerp International Airport,Mar-Oct,ANR,EBAW,"Antwerp, Belgium",UTC+01:00
Andahuaylas Airport,,ANS,SPHY,"Andahuaylas, Peru",UTC−05:00
V. C. Bird International Airport,,ANU,TAPA,"Antigua, Antigua and Barbuda",UTC−04:00
Anvik Airport,Mar-Nov,ANV,PANV,"Anvik, Alaska, United States",UTC−09:00
Ainsworth Regional Airport,Mar-Nov,ANW,KANW,"Ainsworth, Nebraska, United States",UTC−06:00
"Andøya Airport, Andenes",Mar-Oct,ANX,ENAN,"Andenes, Norway",UTC+01:00
Anthony Municipal Airport,Mar-Nov,ANY,KANY,"Anthony, Kansas, United States",UTC−06:00
Angus Downs Airport,,ANZ,,"Angus Downs, Northern Territory, Australia",UTC+09:30
Aroa Airport,,AOA,,"Aroa, Papua New Guinea",UTC+10:00
Annanberg Airport,,AOB,,"Annanberg, Papua New Guinea",UTC+10:00
Leipzig–Altenburg Airport,Mar-Oct,AOC,EDAC,"Altenburg, Thuringia, Germany",UTC+01:00
